region_name
Baja California
Baja California Sur
Bajio
Centro Occidente
Centro Oriente
Centro Sur
Golfo Centro
Golfo Norte
Jalisco
Noroeste
Norte
Oriente
Peninsular
Sureste
Valle de Mexico Centro
Valle de Mexico Norte
Valle de Mexico Sur
